# radius exterior_stream_velocity exterior_density bl_thickness displacement_thickness momentum_thickness tau_wall dpds relative_velocity axial_velocity density ps_exterior_stream_velocity ps_exterior_density ps_bl_thickness ps_displacement_thickness ps_momentum_thickness ps_tau_wall ps_dpds
0.08005378 10.230449 1.2045327 0.0137411095 0.0021205058 0.0014067232 0.47565103 2045.8341 10.230449 10.230449 1.2045327 15.911959 1.2060115 0.011561899 0.004213021 0.0021336335 0.5075005 -751.8581
0.085328236 12.301247 1.2046399 0.013216727 0.0024435793 0.0015419332 0.5092473 1975.8085 12.301247 12.301247 1.2046399 17.95879 1.2060441 0.012384956 0.0041810093 0.0022783743 0.59196585 -830.6412
0.09060266 14.782331 1.2047597 0.012369139 0.0025785603 0.001575504 0.5571712 2062.9846 14.782331 14.782331 1.2047597 20.248642 1.2060878 0.013090502 0.0041151526 0.0024086647 0.6838436 -898.3501
0.0958771 17.569996 1.2048638 0.01125725 0.0025600335 0.0015324396 0.6225705 2368.207 17.569996 17.569996 1.2048638 22.727594 1.2061415 0.013639063 0.004045552 0.002522073 0.7779849 -939.7142
0.101151496 20.510508 1.2049395 0.01011126 0.0024334688 0.0014371845 0.7003386 2663.8767 20.510508 20.510508 1.2049395 25.297989 1.206197 0.014 0.0039628134 0.002604835 0.87396663 -986.97034
0.10642584 22.979403 1.2049711 0.009146581 0.0021852667 0.0012563219 0.7318567 2942.1516 22.979403 22.979403 1.2049711 26.38143 1.2062467 0.012660321 0.0034752502 0.0023212268 0.9502345 -1004.7212
0.11170038 24.986792 1.2049611 0.008324393 0.001821344 0.0010453087 0.7517714 3117.1223 24.986792 24.986792 1.2049611 27.474007 1.2062823 0.010990313 0.003168454 0.0021157477 1.0336379 -1097.3978
0.116974816 27.588278 1.2049048 0.008091604 0.0018271295 0.00096874736 0.75125504 3128.2087 27.588278 27.588278 1.2049048 28.500494 1.2063046 0.010274364 0.0026573068 0.0018402007 1.1199635 -1210.8656
0.1222493 29.584652 1.2048278 0.007527015 0.0018064223 0.0008855342 0.72011906 3045.6243 29.584652 29.584652 1.2048278 29.725134 1.2063112 0.009913635 0.0022592042 0.0016241183 1.2095582 -1379.6207
0.12752368 31.514338 1.2047403 0.007279358 0.0018525469 0.0008435238 0.65600353 2979.0696 31.514338 31.514338 1.2047403 31.25221 1.2063046 0.01002546 0.0020045263 0.0014916564 1.3020748 -1564.3192
0.13279824 33.40566 1.2046534 0.0071764244 0.001853584 0.00078680593 0.5706961 2993.4407 33.40566 33.40566 1.2046534 32.961334 1.2062836 0.010423611 0.0018531993 0.0014272123 1.394196 -1790.4323
0.13807255 35.310238 1.2045473 0.0070911967 0.0017839548 0.00070880586 0.48592585 3215.0205 35.310238 35.310238 1.2045473 34.6901 1.2062541 0.01102898 0.0017744148 0.0014068148 1.484329 -1978.2496
0.14334708 37.28072 1.2044269 0.0068318625 0.0016086614 0.00060612854 0.44007245 3517.5198 37.28072 37.28072 1.2044269 37.09468 1.2062135 0.012477127 0.0020143965 0.0016043273 1.572032 -2151.1812
0.14862143 39.053944 1.2042634 0.006482959 0.0014364301 0.00053043227 0.42182398 3911.309 39.053944 39.053944 1.2042634 39.077835 1.2061687 0.01347106 0.0022763389 0.0017950865 1.6349374 -2234.47
0.15389596 40.187363 1.2043529 0.0063559054 0.0014463704 0.00052929414 0.4879649 4287.312 40.187363 40.187363 1.2043529 39.666275 1.2058305 0.013447485 0.0024834415 0.0018752732 1.5544647 -2347.6255
0.15917045 40.353535 1.2042005 0.0061668935 0.0014380796 0.00054247206 0.5281163 4612.422 40.353535 40.353535 1.2042005 40.549816 1.2057078 0.013310408 0.002871455 0.0020202938 1.5081512 -2457.0393
0.16444486 40.083363 1.2040107 0.006934402 0.0021023056 0.00078152906 0.5619646 4938.031 40.083363 40.083363 1.2040107 41.311817 1.2056386 0.013143193 0.0033683234 0.0022001278 1.4431862 -2624.3062
0.1697193 39.386665 1.2037873 0.008041437 0.0029864167 0.0010959178 0.5857725 5238.458 39.386665 39.386665 1.2037873 41.977165 1.2056336 0.01305667 0.003907464 0.0023923984 1.3738555 -2782.4858
0.17499374 38.431496 1.2035458 0.009360173 0.0040267915 0.0014610793 0.5904552 5584.6226 38.431496 38.431496 1.2035458 42.588127 1.2056972 0.012963574 0.004432867 0.0025764275 1.3103486 -2962.896
0.18026821 37.434055 1.2032975 0.010875758 0.00512009 0.0018406808 0.5750593 5950.478 37.434055 37.434055 1.2032975 43.04665 1.2058167 0.012848658 0.0048469184 0.002702226 1.2627784 -3127.2576
